Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Kalka R.S. S.O,13330201,,5.0,,1.0,17.0,,11.0,4.0,52.0,,6.0,9.0,
Kalka S.O,13330202,,26.0,,13.0,73.0,,37.0,16.0,81.0,,15.0,25.0,
Kalpi B.O,L4364,Saha S.O,,,1.0,,,4.0,,,,,,
Kambassi B.O,I1896,Adhoya S.O,,,2.0,,,1.0,,7.0,,,,
Kandhari Kalan B.O,L4400,Saraswati Nagar S.O,,,2.0,29.0,,3.0,,3.0,,,,
Kandiwala B.O,L3941,Raipur Rani S.O,,,5.0,2.0,,2.0,,3.0,,,,
Karasan B.O,J9669,Shahzadpur S.O.,,,4.0,,,4.0,,2.0,,,,
Kaserla Kalan B.O,I1897,Adhoya S.O,,,,,,6.0,,,,,,
Kathe Majra B.O,B3219,Naraingarh S.O,,,4.0,11.0,,6.0,,3.0,,,,
Kathgarh Chhappar B.O,M6336,Durga Nagar S.O,,,2.0,,,,,,,,,
Keshopur Samalkha B.O,L3889,Bihta S.O (Ambala),,,,1.0,,1.0,,4.0,,,,
Kesri S.O,13310201,,1.0,,3.0,10.0,,11.0,,8.0,,,2.0,
Khadri B.O,I3763,Buriya S.O,,,3.0,3.0,,3.0,,4.0,,,,
Khanpur B.O,J7219,Kesri S.O,,,,1.0,,1.0,,6.0,,,,
Khanpur Brahmana B.O,M0020,Jatwar S.O,,,4.0,4.0,,,,,,,,
Kharanwali B.O,A5884,Kalka S.O,,,3.0,,,,,,,,,
Kharwan B.O,A6105,Jagadhri S.O,,,2.0,5.0,,1.0,,8.0,,,,
Khatauli B.O,I5068,Barwala S.O (Panchkula),,,,,,,,4.0,,,,
Khera B.O,B4561,Jagadhri S.O,,,2.0,,,2.0,,,,,,
Khera Khurd B.O,L7569,Thermal Colony Yamuna Nagar S.O,,,,3.0,,2.0,,,,,,
Khetpurali B.O,L3942,Raipur Rani S.O,,,,,,1.0,,2.0,,,,
Khudda Kalan B.O,L4365,Saha S.O,,,2.0,4.0,,4.0,,8.0,,,,
Khurdban B.O,I4687,Radaur S.O,,,4.0,,,6.0,,17.0,,,,
